address,display_name,builder_score
0xE55f467EDF9cf38379cea2f19ae3d2Aaf6ecFb0B,,
0x0DDF142F734391Cff688d568F76eD2b18689476F,,
0x90F69470859F1fF5DAc8c46988D5c28Ca8AFa094,,
0xFb8E0b9d7E3e297C6a051c70d442B1E636fc9dDA,,
0xB0F52106608331295212489cC88B5cd605145aab,,
0x7cd70b1cC6d17F750ec8bb62047DB75a67B951db,,
0x746bb7beFD31D9052BB8EbA7D5dD74C9aCf54C6d,(🧪,📃),145
0x1E73a3536924CEb5b90c0f252F4c2A489f9c500E,sx,2
0x07b05D3A1ed958944033060d058b8F0771ad1A6e,AlbertLin,79
0x843a3c4ED93fb1f1335D5d174745551468106715,scottrepreneur,217
0x2B36E5830945C4C40eB08291A03C36fD1251345C,,
0xf7Da5b1572214D9416e3d1C9AA8FD2F7810Ce150,,
0x0af385f6f44eE925c1e5723ca6Af453ff76526d6,Mario Alves,87
0x631088Af5A770Bee50FFA7dd5DC18994616DC1fF,Dayitva Goel,229
0x59A9fFfEc1C84DF01Cdc3323008DF324594877e6,,
0x48c73900c8941555717f19B16415C3EeCbf4C00D,Genesis,53
0x83C0e1DB66750e42106825FCBB0Fc4F172c04EA0,,
0xed7B0e1944C75100dBdFc1Ec69Af03Ccd16A8Da6,,
0x63607f2b2afe85214f0ddFD74DCd732459A3ebf9,,
0x7976B5A96Dc857309498E8Ab0d342117c7C9e6c5,Adam Egyed,14
0x5C436397cae44D2E2049A3F5288FbEE22607c87f,,
0xf66c00759467c6524B0C86af132bb52786b37382,Bianc8.eth,233
0xCbE80A330F5221ac28392933BdeE65f1F2dAb834,Rohit,238
0x09A900eB2ff6e9AcA12d4d1a396DdC9bE0307661,Mark Carey 🎩🫂,285
0x0000000043f620DfD39E247924c38be937800943,Saurav Kanchan,45
0x7C608b42A69bC90fbCf25f061d18B1e937b3C572,,
0xE71dC9F48E2382d17797De0956b65988669Fbf2A,,
0x974dD3B4e5E00BC3117Fbba15E521B6B5aFC151C,,
0x4cB80F5B899e53D7b94568053c99c30096398ee5,,
0x9b5065012EBdd81C397D2e8a3D986142Ee6CF8B1,,
0x13489A7f09Ea0DFe9FdC41390cFbB57f4B6fF0b3,maurelian ,29
0x911fCB0f45C33E2711962eAbdd7B28a7E4A10395,,
0x4C5fF9Ae32C973b8E0e7eEd9F9A8f2c7af9d4FBb,Teejay,56
0x763C9e461747B976dE50a21c853109D0023083Fd,,
0xD82b9A0F41f20a897869f80baf2B98320c00a804,,
0xC60755307f250FB6C22c164da2848934264FDF21,,
0x4a3755eB99ae8b22AaFB8f16F0C51CF68Eb60b85,Levertz,164
0x099AFB2DA8713e91728d8AE8f5075c9A55E52d2f,,
0x6C1a009176Bec33C58497dcf34aB00a1997Ab463,,
0x3c92aA9FDB7Aad43dF635F7ae4Ba69E204a343b5,Kaan Aydeniz,148
0x2d276d9107C92BF91358e83EeaDB8842029aF237,,
0x9051848958705d266A94cD946f7CAA88f4DE72C0,,
0xf782ec3854e9414F5Cc9B9CAfd7Df063d80D3095,,
